PIONEER II DIRECTIVE REGISTRY - SOLO-STORY EPISODE 1
============================================================
Q001 | Magnitude of Metal
Q002 | Claiming a Stake
Q003 | The Value of Money
Q004 | Battle Training
Q005 | Journalistic Pursuit
Q006 | The Fake in Yellow
Q007 | Native Research
Q008 | Forest of Sorrow
Q009 | Gran Squall
Q010 | Addicting Food
Q011 | The Lost Bride
Q012 | Waterfall Tears
Q013 | Black Paper
Q014 | Secret Delivery
Q015 | Soul of a Blacksmith
Q016 | Letter from Lionel
Q017 | The Grave's Butler
Q018 | Knowing One's Heart
Q019 | The Retired Hunter
Q020 | Dr. Osto's Research
Q021 | Unsealed Door
Q022 | Soul of Steel
Q023 | Doc's Secret Plan
Q024 | Seek my Master
Q025 | From the Depths
Q026 | Central Dome Fire Swirl
Q027 | Seat of the Heart
